Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
切片,-4.73,3.35,"[-13.44,1.09]",94.46,1.00,11236.57,13475.73
"TY returned on day t
 (Yes cs No)",-0.75,4.42,"[-10.83,8.66]",57.01,1.00,19072.03,20794.13
CSI with TY,-0.72,0.77,"[-2.88,0.91]",83.58,1.00,16955.17,13374.74
TY returned x CSI with TY,9.75,4.30,"[3.06,21.08]",99.92,1.00,12857.71,16902.84
"IT returned on day t
 (Yes cs No)",7.13,3.81,"[0.87,17.33]",98.68,1.00,12404.72,15776.64
CSI with IT,-1.17,0.95,"[-3.87,1.32]",88.21,1.00,17163.38,16378.59
IT returned x CSI with IT,0.12,2.04,"[-5.39,3.90]",52.34,1.00,25314.69,18798.96
"Kin females returned on day t
(Yes vs No)",0.52,1.10,"[-1.83,2.66]",67.95,1.00,23191.54,25390.75
Aggression frequency on dat t,0.71,1.92,"[-3.24,5.40]",64.63,1.00,9675.04,13484.03
Prop. of females on day t,1.88,1.48,"[-0.93,5.69]",91.34,1.00,9421.49,12784.94
Ordinal dominance rank,-0.81,0.66,"[-2.77,0.80]",88.27,1.00,15871.39,13510.34
Age,-0.44,0.69,"[-2.14,1.28]",73.90,1.00,21293.31,18411.59
Study period (MS19 vs MS18),-0.68,3.40,"[-8.21,6.86]",58.05,1.00,14687.69,19281.73
Study period (MS20 vs MS18),-0.52,3.41,"[-7.80,7.18]",55.95,1.00,11722.92,17156.96
