Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
切片,-2.12,1.49,"[-5.42,0.79]",92.69,1.00,10191.92,13181.55
"TY returned on day t
 (Yes cs No)",-1.23,2.15,"[-6.14,2.81]",72.65,1.00,15528.61,17242.73
CSI with TY,-0.68,0.48,"[-1.97,0.31]",92.36,1.00,14715.34,12670.82
TY returned x CSI with TY,4.53,1.73,"[1.61,8.74]",99.91,1.00,13617.06,15293.09
"IT returned on day t
 (Yes cs No)",3.96,1.74,"[0.86,8.12]",99.41,1.00,13366.41,15793.46
CSI with IT,-1.11,0.57,"[-2.58,0.46]",94.33,1.00,13014.74,12206.34
IT returned x CSI with IT,0.48,1.14,"[-2.07,2.73]",65.91,1.00,28605.44,23984.75
"Kin females returned on day t
(Yes vs No)",2.15,0.68,"[0.81,3.48]",99.92,1.00,24650.17,28138.43
Aggression frequency on dat t,0.15,0.63,"[-1.10,1.58]",59.38,1.00,10687.62,13569.11
Prop. of females on day t,0.89,0.53,"[-0.11,2.10]",96.03,1.00,9955.84,14300.51
Ordinal dominance rank,-0.85,0.38,"[-1.88,0.03]",97.26,1.00,14514.19,12055.80
Age,-0.72,0.45,"[-1.84,0.23]",94.15,1.00,19234.77,15433.99
Study period (MS19 vs MS18),-1.08,1.68,"[-4.67,2.35]",74.35,1.00,12544.20,16505.60
Study period (MS20 vs MS18),-1.19,1.56,"[-4.38,2.04]",77.70,1.00,10492.84,14974.70
Study period (MS21 vs MS18),-0.05,1.46,"[-3.07,2.97]",51.35,1.00,11432.27,16352.60
