Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
切片,-8.88,1.68,"[-13.25,-6.29]",100.00,1.00,9147.32,12174.43
TY status(absent vs stay),1.95,0.87,"[0.39,4.02]",99.30,1.00,12366.69,13546.04
TY status (leave vs stay),3.02,1.08,"[1.14,5.67]",99.93,1.00,9600.91,11602.83
CSI with TY,-0.11,0.65,"[-1.48,1.33]",56.89,1.00,13600.32,18097.23
IT status (absent vs stay),2.20,0.80,"[0.75,4.10]",99.83,1.00,15266.29,16170.14
IT status (leave vs stay),2.18,1.00,"[0.26,4.51]",98.69,1.00,15642.42,13948.98
CSI with IT,0.37,0.55,"[-0.83,1.52]",74.44,1.00,14552.56,18322.08
"IT(absent vs stay) 
 ×ITとの親密度",0.15,0.37,"[-0.56,0.93]",65.31,1.00,19432.96,22759.87
"IT(leave vs stay) 
 ×ITとの親密度",0.60,0.48,"[-0.31,1.63]",90.05,1.00,26876.17,25310.44
"Anestrus kin females left on day t
(Yes vs No)",2.57,0.62,"[1.27,3.71]",99.99,1.00,10193.71,19835.03
"Estrous kin females left on day t
(Yes vs No)",1.64,1.28,"[-1.16,4.06]",88.73,1.00,35039.88,25011.99
Aggression frequency on dat t-1,0.45,0.32,"[-0.17,1.20]",92.24,1.00,12289.96,13633.85
Prop. of females on day t-1,0.45,0.35,"[-0.18,1.31]",91.77,1.00,12085.96,12622.81
Ordinal dominance rank,0.30,0.62,"[-1.02,1.67]",68.71,1.00,13274.45,17394.83
Age,0.41,0.52,"[-0.76,1.48]",78.07,1.00,15777.74,18476.52
"Presence of infant 
 (Yes vs No)",0.70,0.64,"[-0.53,2.09]",86.75,1.00,33480.21,27382.36
Study period (MS19 vs MS18),-1.65,1.70,"[-5.01,2.10]",82.61,1.00,13941.21,18163.44
Study period (MS20 vs MS18),0.16,1.64,"[-2.84,4.01]",53.72,1.00,14580.27,16854.59
