Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
切片,-8.69,1.60,"[-12.62,-6.08]",100.00,1.00,11288.40,16539.70
TY status(absent vs stay),1.24,0.62,"[0.07,2.65]",98.07,1.00,18461.23,18270.79
TY status (leave vs stay),2.17,0.86,"[0.60,4.19]",99.70,1.00,13715.23,17078.62
CSI with TY,-1.21,0.83,"[-3.04,0.38]",93.25,1.00,16288.01,19678.77
"TY(absent vs stay) 
 ×TYとの親密度",0.42,0.66,"[-0.77,1.91]",74.46,1.00,21748.84,19180.28
"TY(leave vs stay) 
 ×TYとの親密度",1.89,0.73,"[0.60,3.54]",99.84,1.00,20301.31,19624.98
IT status (absent vs stay),2.01,0.82,"[0.55,3.90]",99.67,1.00,15947.74,17011.78
IT status (leave vs stay),2.13,1.02,"[0.19,4.41]",98.37,1.00,17912.24,17291.10
CSI with IT,0.30,0.50,"[-0.75,1.33]",72.45,1.00,18811.92,22891.37
"IT(absent vs stay) 
 ×ITとの親密度",-0.06,0.32,"[-0.67,0.61]",56.90,1.00,28251.42,28976.41
"IT(leave vs stay) 
 ×ITとの親密度",0.58,0.49,"[-0.35,1.60]",88.78,1.00,30976.77,29305.91
"Anestrus kin females left on day t
(Yes vs No)",2.75,0.56,"[1.62,3.78]",100.00,1.00,10837.63,23392.14
"Estrous kin females left on day t
(Yes vs No)",0.38,0.86,"[-1.49,1.96]",66.84,1.00,35692.89,28697.40
Aggression frequency on dat t-1,0.08,0.24,"[-0.41,0.58]",63.14,1.00,26459.43,24256.87
Prop. of females on day t-1,-0.01,0.26,"[-0.51,0.56]",51.71,1.00,22811.54,21128.26
Ordinal dominance rank,0.26,0.54,"[-0.88,1.42]",68.67,1.00,15815.29,21181.01
Age,0.60,0.46,"[-0.38,1.56]",89.45,1.00,19136.32,22146.57
"Presence of infant 
 (Yes vs No)",1.02,0.60,"[-0.15,2.24]",95.74,1.00,40898.05,30193.88
Study period (MS19 vs MS18),-0.87,1.53,"[-3.76,2.60]",71.24,1.00,17776.61,20202.33
Study period (MS20 vs MS18),0.18,1.49,"[-2.52,3.65]",54.86,1.00,16955.88,18456.34
Study period (MS21 vs MS18),-0.12,1.55,"[-2.99,3.38]",53.00,1.00,16931.59,19747.71
