Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
Intercept,-9.15,1.80,"[-13.23,-6.02]",100.00,1.00,10084.70,13151.48
"TY left on day t
 (Yes cs No)",1.21,0.88,"[-0.52,3.17]",92.91,1.00,16452.10,17940.45
CSI with TY,-0.73,0.75,"[-2.42,0.81]",83.54,1.00,20512.48,21852.32
TY left x CSI with TY,1.64,0.60,"[0.48,2.87]",99.86,1.00,41952.47,27471.66
"IT left on day t
 (Yes cs No)",0.83,0.83,"[-0.93,2.68]",83.93,1.00,26224.63,19253.90
CSI with IT,0.38,0.49,"[-0.69,1.50]",77.92,1.00,18586.10,22401.75
IT left x CSI with IT,0.63,0.43,"[-0.21,1.52]",93.20,1.00,57026.99,28737.17
"Anestrus kin females left on day t
(Yes vs No)",2.84,0.66,"[1.53,4.10]",100.00,1.00,12040.45,23495.51
"Estrous kin females left on day t
(Yes vs No)",1.27,1.51,"[-1.89,4.23]",78.67,1.00,49777.21,28372.32
b_rate_agg_6yo_std,0.61,0.33,"[-0.05,1.36]",97.39,1.00,14289.55,15109.15
Prop. of females on day t-1,-0.03,0.31,"[-0.65,0.67]",54.18,1.00,25624.19,20627.60
Ordinal dominance rank,0.39,0.65,"[-0.97,1.88]",72.89,1.00,18557.35,22436.67
Age,0.47,0.54,"[-0.74,1.62]",80.29,1.00,20905.48,23003.67
"Presence of infant 
 (Yes vs No)",0.91,0.67,"[-0.38,2.24]",91.95,1.00,44306.11,29240.72
Study period(MS19 vs MS18),1.04,1.48,"[-1.81,4.37]",77.18,1.00,26922.55,20900.78
Study period(MS20 vs MS18),2.91,1.54,"[0.15,6.39]",99.02,1.00,16523.14,17085.92
