Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
Intercept,-8.36,1.52,"[-11.77,-5.66]",100.00,1.00,13068.68,14218.39
"TY left on day t
 (Yes cs No)",1.26,0.72,"[-0.17,2.79]",96.52,1.00,20410.20,23509.19
CSI with TY,-0.88,0.64,"[-2.22,0.44]",91.62,1.00,19570.11,23343.29
TY left x CSI with TY,1.60,0.49,"[0.63,2.58]",99.97,1.00,46527.03,28872.90
"IT left on day t
 (Yes cs No)",0.72,0.79,"[-0.95,2.35]",81.74,1.00,29197.68,24385.91
CSI with IT,0.24,0.43,"[-0.67,1.15]",71.31,1.00,20898.64,23942.27
IT left x CSI with IT,0.72,0.42,"[-0.08,1.59]",95.97,1.00,59516.81,31545.50
"Anestrus kin females left on day t
(Yes vs No)",2.80,0.54,"[1.74,3.82]",100.00,1.00,13390.26,23240.56
"Estrous kin females left on day t
(Yes vs No)",0.40,0.85,"[-1.35,2.03]",67.63,1.00,42869.83,28839.06
Aggression frequency on dat t-1,0.21,0.23,"[-0.27,0.68]",81.81,1.00,27686.98,25313.59
Prop. of females on day t-1,-0.32,0.23,"[-0.78,0.16]",91.10,1.00,35695.13,29966.70
Ordinal dominance rank,0.25,0.55,"[-0.91,1.44]",67.95,1.00,17269.18,21300.41
Age,0.58,0.46,"[-0.41,1.55]",88.76,1.00,19748.75,24172.87
"Presence of infant 
 (Yes vs No)",1.08,0.59,"[-0.07,2.26]",96.78,1.00,47769.35,30761.30
Study period(MS19 vs MS18),0.93,1.41,"[-1.79,4.15]",75.83,1.00,19753.86,16522.64
Study period(MS20 vs MS18),2.19,1.39,"[-0.29,5.40]",96.76,1.00,16788.76,14380.47
Study period(MS21 vs MS18),2.14,1.39,"[-0.47,5.29]",96.03,1.00,17501.74,15191.64
