Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
切片,-13.86,5.34,"[-28.12,-6.10]",100.00,1.00,4845.30,8951.50
TY status(absent vs stay),4.95,3.83,"[-1.93,14.66]",92.20,1.00,15407.37,18004.03
TY status (leave vs stay),0.09,6.57,"[-15.64,13.61]",50.63,1.00,26812.10,23316.77
CSI with TY,0.55,1.99,"[-4.64,5.10]",61.00,1.00,17299.03,17330.78
IT status (absent vs stay),-6.20,3.97,"[-16.30,0.78]",95.99,1.00,14140.15,15996.16
IT status (leave vs stay),-8.30,8.40,"[-38.39,5.14]",87.73,1.00,19733.11,12628.12
CSI with IT,-2.69,3.27,"[-12.79,2.61]",83.27,1.00,20803.83,18419.13
"IT(absent vs stay) 
 ×ITとの親密度",-14.61,6.54,"[-31.91,-4.57]",99.91,1.00,7990.45,14577.10
"IT(leave vs stay) 
 ×ITとの親密度",-2.13,7.71,"[-21.37,12.06]",61.12,1.00,38122.57,25258.57
"Anestrus kin females left on day t
(Yes vs No)",10.75,9.11,"[-6.26,33.49]",89.72,1.00,22711.38,20704.96
"Estrous kin females left on day t
(Yes vs No)",-4.79,9.05,"[-31.78,10.56]",71.73,1.00,31159.58,19781.48
Aggression frequency on dat t-1,0.16,1.19,"[-2.79,3.16]",55.53,1.00,17398.56,16779.77
Prop. of females on day t-1,-0.16,1.41,"[-3.66,3.27]",54.98,1.00,17288.71,18208.88
Ordinal dominance rank,2.07,1.72,"[-1.12,6.89]",91.38,1.00,12692.78,14741.98
Age,1.07,1.69,"[-2.49,5.63]",74.97,1.00,14900.76,15854.47
Study period (MS19 vs MS18),0.49,3.53,"[-7.75,8.17]",55.52,1.00,18553.60,20772.02
Study period (MS20 vs MS18),2.16,3.96,"[-6.46,10.93]",70.86,1.00,18093.17,19440.90
"TY(absent vs stay) 
 ×TYとの親密度",8.60,5.05,"[-0.07,21.11]",97.38,1.00,22181.23,20085.75
"TY(leave vs stay) 
 ×TYとの親密度",15.93,13.07,"[-3.35,66.02]",94.13,1.00,17838.03,10980.57
