Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
切片,-4.95,0.88,"[-7.08,-3.52]",100.00,1.00,14202.18,17023.41
TY status(absent vs stay),0.22,0.63,"[-1.08,1.47]",63.69,1.00,32397.53,28755.23
TY status (leave vs stay),0.06,1.32,"[-3.11,2.52]",51.71,1.00,26663.40,23840.59
CSI with TY,-0.02,0.48,"[-1.13,1.01]",51.51,1.00,22719.69,21920.48
"TY(absent vs stay) 
 ×TYとの親密度",0.11,0.53,"[-1.00,1.15]",58.71,1.00,47376.05,28407.67
"TY(leave vs stay) 
 ×TYとの親密度",-1.22,1.45,"[-5.42,0.99]",83.65,1.00,33055.76,20806.62
IT status (absent vs stay),-0.02,1.11,"[-2.22,2.25]",50.61,1.00,19188.47,23929.62
IT status (leave vs stay),-10.49,7.88,"[-42.36,-0.67]",98.64,1.00,17264.86,11567.41
CSI with IT,-0.95,0.86,"[-3.32,0.48]",89.95,1.00,18611.49,15165.29
"IT(absent vs stay) 
 ×ITとの親密度",1.27,0.81,"[0.06,3.60]",98.06,1.00,21884.08,15040.55
"IT(leave vs stay) 
 ×ITとの親密度",-2.58,5.95,"[-19.38,7.36]",67.76,1.00,26398.54,21303.11
"Anestrus kin females left on day t
(Yes vs No)",-0.28,1.41,"[-3.76,2.14]",58.11,1.00,47841.58,26800.59
"Estrous kin females left on day t
(Yes vs No)",0.45,1.00,"[-1.78,2.26]",66.97,1.00,55797.84,27758.12
Aggression frequency on dat t-1,0.02,0.28,"[-0.54,0.58]",52.83,1.00,35455.64,28333.66
Prop. of females on day t-1,-0.01,0.30,"[-0.62,0.61]",51.03,1.00,33520.32,27429.62
Ordinal dominance rank,0.46,0.40,"[-0.43,1.43]",86.93,1.00,20079.98,21085.77
Age,0.15,0.41,"[-0.89,0.98]",64.01,1.00,22521.17,19254.36
Study period (MS19 vs MS18),1.25,1.22,"[-1.22,3.64]",84.45,1.00,20212.94,26544.02
Study period (MS20 vs MS18),1.64,1.15,"[-0.66,3.98]",92.31,1.00,18054.65,23335.22
Study period (MS21 vs MS18),2.30,1.31,"[-0.24,5.00]",96.27,1.00,14397.77,20268.54
