Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
Intercept,-7.55,2.76,"[-17.74,-4.17]",100.00,1.00,5076.39,5912.36
"TY left on day t
 (Yes cs No)",-3.38,7.97,"[-25.28,10.01]",67.12,1.00,21384.83,17166.01
CSI with TY,0.33,1.05,"[-3.37,3.04]",62.43,1.00,14944.99,12754.04
TY left x CSI with TY,18.58,16.23,"[-5.85,79.93]",92.45,1.00,16085.27,10033.18
"IT left on day t
 (Yes cs No)",-14.43,12.05,"[-60.74,1.08]",95.93,1.00,13963.05,9115.06
CSI with IT,-3.10,2.62,"[-13.09,0.46]",95.44,1.00,13394.98,10972.71
IT left x CSI with IT,-2.64,9.53,"[-28.05,14.52]",61.16,1.00,25469.20,21166.14
"Anestrus kin females left on day t
(Yes vs No)",9.97,11.06,"[-11.79,36.73]",82.35,1.00,21888.30,18016.36
"Estrous kin females left on day t
(Yes vs No)",-10.06,12.17,"[-50.77,7.26]",83.48,1.00,19519.49,13343.63
b_rate_agg_6yo_std,0.10,0.61,"[-1.27,1.64]",56.66,1.00,15933.49,10058.16
Prop. of females on day t-1,-0.28,0.52,"[-1.56,0.91]",70.61,1.00,15272.83,12877.53
Ordinal dominance rank,0.88,0.90,"[-0.86,4.27]",87.49,1.00,11095.71,9566.99
Age,0.45,0.88,"[-1.80,3.46]",70.79,1.00,11536.01,9914.16
Study period(MS19 vs MS18),0.95,1.53,"[-2.37,4.70]",73.55,1.00,15822.83,10381.28
Study period(MS20 vs MS18),1.82,1.68,"[-1.73,6.07]",86.01,1.00,11068.10,8977.67
