Explanatory variables,Median,MAD,95%CI,PD,Rhat,Bulk ESS,Tail ESS
Intercept,-4.46,0.73,"[-6.28,-3.25]",100.00,1.00,13763.32,14298.39
"TY left on day t
 (Yes cs No)",-0.15,1.29,"[-3.26,2.12]",54.64,1.00,22275.06,19084.63
CSI with TY,0.00,0.43,"[-1.00,0.99]",50.20,1.00,17365.57,17222.02
TY left x CSI with TY,-1.46,1.53,"[-5.94,0.85]",87.42,1.00,25405.25,17607.30
"IT left on day t
 (Yes cs No)",-16.45,12.05,"[-65.75,-1.88]",99.48,1.00,16256.90,12090.41
CSI with IT,0.06,0.40,"[-0.81,1.05]",56.49,1.00,18209.15,17931.58
IT left x CSI with IT,-4.60,8.24,"[-28.29,9.67]",73.17,1.00,24339.24,21062.22
"Anestrus kin females left on day t
(Yes vs No)",-0.17,1.37,"[-3.63,2.17]",55.16,1.00,42339.85,24708.82
"Estrous kin females left on day t
(Yes vs No)",0.33,0.95,"[-1.89,2.07]",63.14,1.00,52579.34,26469.32
Aggression frequency on dat t-1,-0.04,0.26,"[-0.58,0.48]",56.08,1.00,33430.41,26885.06
Prop. of females on day t-1,-0.01,0.25,"[-0.49,0.49]",51.38,1.00,33560.02,27393.18
Ordinal dominance rank,0.41,0.40,"[-0.48,1.36]",84.83,1.00,17223.00,17106.08
Age,0.17,0.40,"[-0.86,0.99]",66.58,1.00,16350.39,14578.96
Study period(MS19 vs MS18),1.04,0.92,"[-0.84,2.89]",86.50,1.00,21623.47,26219.37
Study period(MS20 vs MS18),1.41,0.88,"[-0.28,3.24]",94.92,1.00,19724.94,22174.75
Study period(MS21 vs MS18),1.94,0.77,"[0.55,3.70]",99.70,1.00,14279.22,14933.22
