Explanatory variables,Median,MAD,95%CI,PD,Rhat,ess_bulk,ess_tail
Presence of TY (vs. absent),0.53,0.20,"[0.14,0.92]",99.61,1.00,19461.14,14945.84
Presence of IT (vs. absent),0.63,0.28,"[0.10,1.20]",98.91,1.00,19446.42,15467.42
Study period (MS18),-0.16,3.91,"[-8.40,8.04]",51.52,1.00,11963.62,11188.12
Study period (MS19),-1.00,3.50,"[-8.29,6.04]",61.32,1.00,19462.74,14196.06
Study period (MS20),-1.09,3.33,"[-8.18,5.22]",63.00,1.00,17856.31,14788.68
Study period (MS21),-1.05,3.58,"[-8.12,6.40]",61.50,1.00,18240.73,12327.85
Study period (NMS19),0.94,3.55,"[-6.65,7.94]",60.62,1.00,15413.99,13594.39
Study period (NMS20),0.96,3.54,"[-6.20,8.16]",60.66,1.00,20330.88,14659.10
Study period (NMS21),0.45,3.28,"[-6.35,7.07]",55.60,1.00,17293.93,13350.03
Study period (NMS22),1.13,3.92,"[-6.73,9.49]",61.26,1.00,19520.33,13571.68
