Explanatory variables,Median,MAD,95%CI,PD,Rhat,ess_bulk,ess_tail
Presence of TY (vs. absent),0.49,0.19,"[0.13,0.89]",99.50,1.00,17249.61,15819.35
Presence of IT (vs. absent),0.51,0.26,"[0.02,1.04]",97.86,1.00,18995.78,15711.04
Study period (MS18),-0.17,3.80,"[-8.04,8.09]",51.92,1.00,10549.06,10935.77
Study period (MS19),-1.04,3.58,"[-8.63,6.07]",61.75,1.00,17001.72,12726.04
Study period (MS20),-1.17,3.32,"[-8.05,5.40]",63.57,1.00,15857.03,14103.97
Study period (MS21),-1.06,3.56,"[-8.27,6.29]",61.91,1.00,16806.03,13300.16
Study period (NMS19),0.86,3.51,"[-6.21,8.44]",59.54,1.00,14626.25,10903.83
Study period (NMS20),0.97,3.53,"[-6.45,8.24]",60.82,1.00,15005.15,12573.18
Study period (NMS21),0.45,3.30,"[-5.92,7.47]",55.58,1.00,15602.80,13870.77
Study period (NMS22),1.13,3.89,"[-6.95,9.34]",61.58,1.00,18041.17,12092.10
